country,Act.and.or.practice,Coverage,Timeframe,References,cluster,Region,Cov.Name,name,policy.description
Malaysia,Countervailing And Anti-Dumping Duties Act (Act 504) P.u.(A) 233/94 1993,ICT products,"Since April 1993, last amended in December 1999",https://www.miti.gov.my/miti/resources/fileupload/Countervailing_And_Anti-Dumping_Duties_Act_1993_(2014).pdf,Traditional trade policies,South-East Asia,Sectoral,Tariffs & trade defence,Trade defence measures
Malaysia,"Official Portal Of The Ministry Of Investment, Trade And Industry - Anti-Dumping And Countervailing Measure",ICT products,Last review in October 2024,https://www.miti.gov.my/index.php/pages/view/contentf5f7.html,Traditional trade policies,South-East Asia,Sectoral,Tariffs & trade defence,Trade defence measures
Singapore,Countervailing And Anti-Dumping Duties Act 1996,ICT products,Since November 1996 last amended in December 2021,https://sso.agc.gov.sg/Act/CADDA1996,Traditional trade policies,South-East Asia,Sectoral,Tariffs & trade defence,Trade defence measures
Malaysia,Countervailing And Anti-Dumping Duties Regulations 1994,ICT products,"Since July 1994, last amended in December 1999",https://www.miti.gov.my/miti/resources/fileupload/Countervailing_and_Anti-Dumping_Duties_Regulations_1994.pdf,Traditional trade policies,South-East Asia,Sectoral,Tariffs & trade defence,Trade defence measures
Australia,Customs Act 1901,"Power transformers (HS 8504.22, 8504.23)/PCV Flat Electric Cables (HS 8544.49.20)","Since October 1901, last amended October 2024",https://www.legislation.gov.au/C1901A00006,Traditional trade policies,Pacific,Sectoral,Tariffs & trade defence,Trade defence measures
Malaysia,Customs (Prohibition Of Imports) (Amendment) Order 2024 P.u. (A) 69,ICT products,Since Febuary 2024,https://ccs-co.com/post/customs-prohibition-of-imports-amendment-order-2024/,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Import bans
Australia,Customs (Prohibited Imports) Regulations 1956,Cross-cutting,"Since December 1956, last amended in October 2024",https://www.legislation.gov.au/F1996B03651,Traditional trade policies,Pacific,Cross-cutting,Non-technical NTMs,Import bans
Malaysia,Customs (Prohibition Of Imports) Order P.u. (A) 117 2023,ICT products,Since April 2023,https://www.customs.gov.my/en/pg/Customs%20Order/PU(A)%20117-%20Perintah%20Kastam%20(Larangan%20Mengenai%20Import)%202023.pdf,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Import bans
Singapore,"Telecommunications Act (Chapter 323, Section 74)Telecommunications (Dealers) Regulations",Telecommunication equipments,Since 2004 last amended in 2023,https://sso.agc.gov.sg/SL/TA1999-RG6?DocDate=20230829&ProvIds=Sc3-#Sc3,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Import bans
Singapore,"Telecommunications Act (Chapter 323, Section 74)Telecommunications (Dealers) Regulations",Telecommunication equipments,Since 2004 last amended in 2023,https://sso.agc.gov.sg/SL/TA1999-RG6?DocDate=20230829&ProvIds=Sc3-#Sc3,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Singapore,Manufacture Of Optical Discs Act,Mastering equipment and replication equipment ,Since 2004 last amended in 2020,https://importlicensing.wto.org/content/optical-disc-mastering-and-replication-equipment-1,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Australia,Commerce (Trade Descriptions) Regulation 2016,Cross-cutting,"Since April 2017, last amended in March 2019",https://www.legislation.gov.au/C2012A00132/latest/versions,Traditional trade policies,Pacific,Cross-cutting,Non-technical NTMs,Other import restrictions
Malaysia,Strategic Trade Act (Act 708) 2010,ICT goods,Since May 2010,https://umresearch.um.edu.my/wp-content/uploads/2024/05/Act-708-STRATEGIC-TRADE-ACT-2010.pdf,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Malaysia,Communications And Multimedia (Technical Standards) Regulations 2000,ICT goods,Since March 2000,https://mcmc.gov.my/en/legal/acts/communications-and-multimedia-act-1998-reprint-200/communications-and-multimedia-(technical-standards,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Singapore,"Regulation Of Imports And Exports Act (Chapter 272a, Section 3) Regulation Of Imports And Exports Regulations",Telecommunication equipments/Mastering equipment and replication equipment ,"Since December 1995, last amended in 2024/Since December 1995 last amended in 2024",https://www.imda.gov.sg/regulations-and-licensing-listing/equipment-registration,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Australia,Customs Act 1901,Cross-cutting,"Since October 1901, last amended in October 2024",https://www.legislation.gov.au/C1901A00006,Traditional trade policies,Pacific,Cross-cutting,Non-technical NTMs,Other import restrictions
Malaysia,Customs (Prohibition Of Imports) Order P.u. (A) 117 2023,ICT goods,Since April 2023,https://www.customs.gov.my/en/pg/Pages/pg_prthkastam.aspx,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Malaysia,Strategic Trade (Strategic Items) List 2023,ICT goods,Since August 2023,https://www.miti.gov.my/index.php/pages/view/8702,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Malaysia,Communications And Multimedia Act (Act 588) 1998,ICT goods,"Since April 1999, last amended in 2005",https://www.vertic.org/media/National%20Legislation/Malaysia/MY_Communications_and_Multimedia_Act.pdf,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Other import restrictions
Australia,Greenhouse And Energy Minimum Standards Act 2012,Cross-cutting,"Since October 2012, last amended in October 2024",,Traditional trade policies,Pacific,Cross-cutting,Non-technical NTMs,Other import restrictions
Malaysia,Communications And Multimedia Act (Act 588) 1998,ICT products,"Since April 1999, last amended in 2005",https://www.vertic.org/media/National%20Legislation/Malaysia/MY_Communications_and_Multimedia_Act.pdf,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Local content requirements
Australia,Broadcasting Services Act 1992,Broadcasting services/Streaming services,"Since July 1992, last amended in October 2024",https://www.legislation.gov.au/C2004A04401/latest/text,Traditional trade policies,Pacific,Sectoral,Non-technical NTMs,Local content requirements
Singapore,"Regulation Of Imports And Exports Act (Chapter 272a, Section 3) Regulation Of Imports And Exports Regulations",Cross-cutting,Since December 1995 last amended in2024,https://sso.agc.gov.sg/SL/RIEA1995-RG1,Traditional trade policies,South-East Asia,Cross-cutting,Non-technical NTMs,Local content requirements
Malaysia,Strategic Trade Act (Act 708) 2010,ICT products,Since May 2010,https://umresearch.um.edu.my/wp-content/uploads/2024/05/Act-708-STRATEGIC-TRADE-ACT-2010.pdf,Traditional trade policies,South-East Asia,Sectoral,Non-technical NTMs,Local content requirements
Australia,Defence Trade Controls Act 2012,Defence and Strategic Goods List (DSGL) and goods containing DSGL technology,"Since November 2012, last amended in October 2024",https://www.legislation.gov.au/C2012A00153,Traditional trade policies,Pacific,Sectoral,Non-technical NTMs,Export restrictions
Singapore,Strategic Goods Control Act 2002,Cross-cutting,"Since January 2003, last amended in December 2021",https://www.customs.gov.sg/businesses/exporting-goods/controlled-and-prohibited-goods-for-export,Traditional trade policies,South-East Asia,Cross-cutting,Non-technical NTMs,Export restrictions
Australia,Defence And Strategic Goods List 2024,Defence and Strategic Goods List (DSGL) and goods containing DSGL technology,Since August 2024,https://www.legislation.gov.au/F2024L01024,Traditional trade policies,Pacific,Sectoral,Non-technical NTMs,Export restrictions
