country,Act.and.or.practice,Coverage,Timeframe,References,cluster,Region,Cov.Name,pillar.name,policy.description
Australia,2023-2030 Australian Cyber Security Strategy,Cross-cutting,Since 2023,https://www.homeaffairs.gov.au/about-us/our-portfolios/cyber-security/strategy/2023-2030-australian-cyber-security-strategy,Digital governance policies,Pacific,Cross-cutting,Domestic data protection & privacy,Lack of dedicated legal framework for cybersecurity
Singapore,Advisory Guidelines On The Pdpa For Children's Personal Data In The Digital Environment,Cross-cutting,Since 28 March 2024,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/advisory-guidelines/advisory-guidelines-on-the-pdpa-for-children's-personal-data-in-the-digital-environment_mar24.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Data Protection Impact Assessment or Data Protection Officer requirements
Singapore,ASEAN Australia New Zealand Free Trade Agreement (Aanzfta),Cross-cutting,Since 2010,https://www.mti.gov.sg/Trade/Digital-Economy-Agreements/The-Digital-Economy-Partnership-Agreement,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Australia,Australian Security Intelligence Organisation Act 1979,Cross-cutting,"Since October 1979, last amended in October 2024",https://www.legislation.gov.au/C2004A02123,Digital governance policies,Pacific,Cross-cutting,Domestic data protection & privacy,Requirements to allow government access to personal data
Singapore,Banking Act 1970,Financial sector,"Since 1970, last amended in 2022",https://sso.agc.gov.sg/act/ba1970,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Lack of comprehensive legal framework for data protection
Singapore,Companies Act 1967,Accounting records ,Since July 2014 last amended in 2021,https://sso.agc.gov.sg/Act/CoA1967,Digital governance policies,South-East Asia,Sectoral,Cross-border data policies,Local storage requirements
Singapore,Companies Act 1967,Accounting records ,Since July 2014 last amended in 2021,https://sso.agc.gov.sg/Act/CoA1967,Digital governance policies,South-East Asia,Sectoral,Domestic data protection & privacy,Minimum period of data retention requirements
Singapore,Comprehensive And Progressive Agreement For Trans-Pacific Partnership - Singapore,Cross-cutting,Since 2018,https://www.dfat.gov.au/trade/agreements/in-force/cptpp/comprehensive-and-progressive-agreement-for-trans-pacific-partnership,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Malaysia,Comprehensive And Progressive Agreement For Trans-Pacific Partnership - Malaysia,Cross-cutting,Since December 2018,https://www.mti.gov.sg/-/media/MTI/improving-trade/multilateral-and-regional-forums/CPTPP/cptpp_legal_text_21022018.pdf?la=en&hash=386E7ED14D456CB6D8B3E555166C0BD1,Digital governance policies,South-East Asia,Cross-cutting,Cross-border data policies,Not in agreement with binding commitments on data transfer
Malaysia,Computer Crimes Act (Act 563) 1997,Cross-cutting,"Since June 1997, last amended in January 2006",https://ccid.rmp.gov.my/Laws/Computer_Crime_Act_1997.pdf,Digital governance policies,South-East Asia,Cross-cutting,Domestic data protection & privacy,Lack of dedicated legal framework for cybersecurity
Australia,Criminal Code Act 1995,Cross-cutting,"Since March 1995, last amended in October 2024",https://www.legislation.gov.au/C2004A04868/latest/versions,Digital governance policies,Pacific,Cross-cutting,Domestic data protection & privacy,Lack of dedicated legal framework for cybersecurity
